Machine learning,"Each time each type of sort button is clicked, changes from Ascending to Descending",,your search,Button to Reset to original ordering,Order by your notes,"Authors, year, editor", Button - use to order by YEAR,First author,Title,text, Link 1, Link 2,," dois, after using crossref button"
,,,Machine learning,107,,"M Barreno, B Nelson, R Sears, AD Joseph… - Proceedings of the 2006 …, 2006 - dl.acm.org",2006,"Barreno,",Can machine learning be secure?,"Machine learning systems offer unparalled flexibility in dealing with evolving input in a 
variety of applications, such as intrusion detection systems and spam e-mail filtering. 
However, machine learning algorithms themselves can be a target of attack by a malicious …",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.72.4400&rep=rep1&type=pdf,https://dl.acm.org/doi/abs/10.1145/1128817.1128824,,
,,,Machine learning,108,,"J VanderPlas, AJ Connolly, Ž Ivezić… - 2012 conference on …, 2012 - ieeexplore.ieee.org",2012,"VanderPlas,",Introduction to astroML: Machine learning for astrophysics,"Astronomy and astrophysics are witnessing dramatic increases in data volume as detectors, 
telescopes and computers become ever more powerful. During the last decade, sky surveys 
across the electromagnetic spectrum have collected hundreds of terabytes of astronomical …",https://arxiv.org/pdf/1411.5039,https://ieeexplore.ieee.org/abstract/document/6382200/,,
,,,Machine learning,109,,Y Jin - 2006 - books.google.com,2006,Jin,Multi-objective machine learning,"Recently, increasing interest has been shown in applying the concept of Pareto-optimality to 
machine learning, particularly inspired by the successful developments in evolutionary multi-
objective optimization. It has been shown that the multi-objective approach to machine  …",,https://books.google.com/books?hl=en&lr=&id=yhkvL3gArwsC&oi=fnd&pg=PA2&dq=Machine+learning&ots=j7rTy3ZMDy&sig=mUr77PvWasfXu-mDtGiU4EuGb-g,,
,,,Machine learning,110,,"D Albanese, R Visintainer, S Merler… - arXiv preprint arXiv …, 2012 - arxiv.org",2012,"Albanese,",mlpy: Machine learning python,"mlpy is a Python Open Source Machine Learning library built on top of NumPy/SciPy and the 
GNU Scientific Libraries. mlpy provides a wide range of state-of-the-art machine learning 
methods for supervised and unsupervised problems and it is aimed at finding a reasonable …",https://arxiv.org/pdf/1202.6548,https://arxiv.org/abs/1202.6548,,
,,,Machine learning,111,,"M Bkassiny, Y Li, SK Jayaweera - … Communications Surveys & …, 2012 - ieeexplore.ieee.org",2012,"Bkassiny,",A survey on machine-learning techniques in cognitive radios,"In this survey paper, we characterize the learning problem in cognitive radios (CRs) and 
state the importance of artificial intelligence in achieving real cognitive communications 
systems. We review various learning problems that have been studied in the context of CRs …",https://romisatriawahono.net/lecture/rm/survey/machine%20learning/Bkassiny%20-%20Machine-Learning%20Techniques%20-%202013.pdf,https://ieeexplore.ieee.org/abstract/document/6336689/,,
,,,Machine learning,112,,"R Kohavi, G John, R Long, D Manley… - … Conference on Tools …, 1994 - ieeexplore.ieee.org",1994,"Kohavi,",MLC++: A machine learning library in C++,"We present MLC++, a library of C++ classes and tools for supervised machine learning. 
While MLC++ provides general learning algorithms that can be used by end users, the main 
objective is to provide researchers and experts with a wide variety of tools that can …",https://www.researchgate.net/profile/Ron_Kohavi/publication/3562130_MLC_A_machine_learning_library_in_C/links/02e7e51bcc03f01e5d000000/MLC-A-machine-learning-library-in-C.pdf,https://ieeexplore.ieee.org/abstract/document/346412/,,
,,,Machine learning,113,,"JD Farmer, NH Packard, AS Perelson - Physica D: Nonlinear Phenomena, 1986 - Elsevier",1986,"Farmer,","The immune system, adaptation, and machine learning","The immune system is capable of learning, memory, and pattern recognition. By employing 
genetic operators on a time scale fast enough to observe experimentally, the immune 
system is able to recognize novel shapes without preprogramming. Here we describe a …",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.122.6614&rep=rep1&type=pdf,https://www.sciencedirect.com/science/article/pii/016727898690240X,,
,,,Machine learning,114,,"P Langley, HA Simon - Communications of the ACM, 1995 - dl.acm.org",1995,"Langley,",Applications of machine learning and rule induction,"M achine learning is the study of computational methods for improving performance by 
mechanizing the acquisition of knowledge from experience. Expert performance requires 
much domain-specific knowledge, and knowledge engineering has produced hundreds of …",https://apps.dtic.mil/sti/pdfs/ADA292607.pdf,https://dl.acm.org/doi/abs/10.1145/219717.219768,,
,,,Machine learning,115,,"S Rogers, M Girolami - 2016 - books.google.com",2016,"Rogers,",A first course in machine learning,""" A First Course in Machine Learning by Simon Rogers and Mark Girolami is the best 
introductory book for ML currently available. It combines rigor and precision with 
accessibility, starts from a detailed explanation of the basic foundations of Bayesian analysis …",,https://books.google.com/books?hl=en&lr=&id=b24NDgAAQBAJ&oi=fnd&pg=PP1&dq=Machine+learning&ots=Hauu8RChxp&sig=G3izm8jGbahea2DoQciI-WdUZpE,,
,,,Machine learning,116,,"A Karpatne, I Ebert-Uphoff, S Ravela… - … on Knowledge and …, 2018 - ieeexplore.ieee.org",2018,"Karpatne,",Machine learning for the geosciences: Challenges and opportunities,"Geosciences is a field of great societal relevance that requires solutions to several urgent 
problems facing our humanity and the planet. As geosciences enters the era of big data, 
machine learning (ML)-that has been widely successful in commercial domains-offers …",https://arxiv.org/pdf/1711.04708,https://ieeexplore.ieee.org/abstract/document/8423072/,,
,,,Machine learning,117,,"T Wuest, D Weimer, C Irgens… - … & Manufacturing Research, 2016 - Taylor & Francis",2016,"Wuest,","Machine learning in manufacturing: advantages, challenges, and applications","The nature of manufacturing systems faces ever more complex, dynamic and at times even 
chaotic behaviors. In order to being able to satisfy the demand for high-quality products in an 
efficient manner, it is essential to utilize all means available. One area, which saw fast pace …",https://www.tandfonline.com/doi/pdf/10.1080/21693277.2016.1192517,https://www.tandfonline.com/doi/abs/10.1080/21693277.2016.1192517,,
,,,Machine learning,118,,"M Gashler - The Journal of Machine Learning Research, 2011 - jmlr.org",2011,Gashler,Waffles: A Machine Learning Toolkit,"We present a breadth-oriented collection of cross-platform command-line tools for 
researchers in machine learning called Waffles. The Waffles tools are designed to offer a 
broad spectrum of functionality in a manner that is friendly for scripted automation. All …",https://www.jmlr.org/papers/volume12/gashler11a/gashler11a.pdf,https://www.jmlr.org/papers/volume12/gashler11a/gashler11a.pdf,,
,,,Machine learning,119,,"T Baltrušaitis, C Ahuja… - … analysis and machine …, 2018 - ieeexplore.ieee.org",2018,"Baltrušaitis,",Multimodal machine learning: A survey and taxonomy,"Our experience of the world is multimodal-we see objects, hear sounds, feel texture, smell 
odors, and taste flavors. Modality refers to the way in which something happens or is 
experienced and a research problem is characterized as multimodal when it includes …",https://arxiv.org/pdf/1705.09406,https://ieeexplore.ieee.org/abstract/document/8269806/,,
,,,Machine learning,120,,"CE Rasmussen - Summer school on machine learning, 2003 - Springer",2003,Rasmussen,Gaussian processes in machine learning,"We give a basic introduction to Gaussian Process regression models. We focus on 
understanding the role of the stochastic process and how it is used to define a distribution 
over functions. We present the simple equations for incorporating training data and examine …",https://www.researchgate.net/profile/Olivier_Bousquet/publication/238718428_Advanced_Lectures_on_Machine_Learning_ML_Summer_Schools_2003_Canberra_Australia_February_2-14_2003_Tubingen_Germany_August_4-16_2003_Revised_Lectures/links/02e7e52c5870850311000000/Advanced-Lectures-on-Machine-Learning-ML-Summer-Schools-2003-Canberra-Australia-February-2-14-2003-Tuebingen-Germany-August-4-16-2003-Revised-Lectures.pdf#page=70,https://link.springer.com/chapter/10.1007/978-3-540-28650-9_4,,
,,,Machine learning,121,,"L Huang, AD Joseph, B Nelson… - Proceedings of the 4th …, 2011 - dl.acm.org",2011,"Huang,",Adversarial machine learning,"In this paper (expanded from an invited talk at AISEC 2010), we discuss an emerging field of 
study: adversarial machine learning---the study of effective machine learning techniques 
against an adversarial opponent. In this paper, we: give a taxonomy for classifying attacks …",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.310.771&rep=rep1&type=pdf,https://dl.acm.org/doi/abs/10.1145/2046684.2046692,,
,,,Machine learning,122,,"D Rolnick, PL Donti, LH Kaack, K Kochanski… - arXiv preprint arXiv …, 2019 - arxiv.org",2019,"Rolnick,",Tackling climate change with machine learning,"Climate change is one of the greatest challenges facing humanity, and we, as machine 
learning experts, may wonder how we can help. Here we describe how machine learning 
can be a powerful tool in reducing greenhouse gas emissions and helping society adapt to a …",https://arxiv.org/pdf/1906.05433.pdf?source=post_page---------------------------,https://arxiv.org/abs/1906.05433,,
,,,Machine learning,123,,"A Smola, SVN Vishwanathan - Cambridge University, UK, 2008 - academia.edu",2008,"Smola,",Introduction to machine learning,"Data may be incomplete (use mean imputation) Data may come from different sources 
(adapt model) Data may be biased (eg it is much easier to get blood samples from university 
students for cheap). Problem may be ill defined, eg “find information.”(get information about …",https://www.academia.edu/download/63588567/An_Introduction_to_Machine_Learning_-_Machine_Learning_Summer20200610-33267-6wsump.pdf,https://www.academia.edu/download/63588567/An_Introduction_to_Machine_Learning_-_Machine_Learning_Summer20200610-33267-6wsump.pdf,,
,,,Machine learning,124,,"G Meyfroidt, F Güiza, J Ramon… - Best Practice & Research …, 2009 - Elsevier",2009,"Meyfroidt,",Machine learning techniques to examine large patient databases,"Computerization in healthcare in general, and in the operating room (OR) and intensive care 
unit (ICU) in particular, is on the rise. This leads to large patient databases, with specific 
properties. Machine learning techniques are able to examine and to extract knowledge from …",https://lirias.kuleuven.be/retrieve/62703,https://www.sciencedirect.com/science/article/pii/S1521689608000839,,
,,,Machine learning,125,,"P Mohassel, P Rindal - Proceedings of the 2018 ACM SIGSAC …, 2018 - dl.acm.org",2018,"Mohassel,",ABY3 A Mixed Protocol Framework for Machine Learning,"Machine learning is widely used to produce models for a range of applications and is 
increasingly offered as a service by major technology companies. However, the required 
massive data collection raises privacy concerns during both training and prediction stages …",https://eprint.iacr.org/2018/403.pdf,https://dl.acm.org/doi/abs/10.1145/3243734.3243760,,
,,,Machine learning,126,,"O Biran, C Cotton - IJCAI-17 workshop on explainable AI (XAI), 2017 - cs.columbia.edu",2017,"Biran,",Explanation and justification in machine learning: A survey,"We present a survey of the research concerning explanation and justification in the Machine 
Learning literature and several adjacent fields. Within Machine Learning, we differentiate 
between two main branches of current research: interpretable models, and prediction …",http://www.cs.columbia.edu/~orb/papers/xai_survey_paper_2017.pdf,http://www.cs.columbia.edu/~orb/papers/xai_survey_paper_2017.pdf,,
,,,Machine learning,127,,"G Holmes, A Donkin, IH Witten - Proceedings of ANZIIS'94 …, 1994 - ieeexplore.ieee.org",1994,"Holmes,",Weka: A machine learning workbench,"WEKA is a workbench for machine learning that is intended to aid in the application of 
machine learning techniques to a variety of real-world problems, in particular, those arising 
from agricultural and horticultural domains. Unlike other machine learning projects, the …",https://researchcommons.waikato.ac.nz/bitstream/handle/10289/1138/uow-cs-wp-1994-09.pdf?sequence=1,https://ieeexplore.ieee.org/abstract/document/396988/,,
,,,Machine learning,128,,"BJ Erickson, P Korfiatis, Z Akkus, TL Kline - Radiographics, 2017 - pubs.rsna.org",2017,"Erickson,",Machine learning for medical imaging,"Machine learning is a technique for recognizing patterns that can be applied to medical 
images. Although it is a powerful tool that can help in rendering medical diagnoses, it can be 
misapplied. Machine learning typically begins with the machine learning algorithm system …",https://pubs.rsna.org/doi/full/10.1148/rg.2017160130,https://pubs.rsna.org/doi/abs/10.1148/rg.2017160130,,
,,,Machine learning,129,,"K Lerman, SN Minton, CA Knoblock - Journal of Artificial Intelligence …, 2003 - jair.org",2003,"Lerman,",Wrapper maintenance: A machine learning approach,"The proliferation of online information sources has led to an increased use of wrappers for 
extracting data from Web sources. While most of the previous research has focused on quick 
and efficient generation of wrappers, the development of tools for wrapper maintenance has …",https://www.jair.org/index.php/jair/article/download/10325/24668,https://www.jair.org/index.php/jair/article/view/10325,,
,,,Machine learning,130,,"C Chu, SK Kim, Y Lin, YY Yu, G Bradski… - Advances in neural …, 2007 - books.google.com",2007,"Chu,",Map-reduce for machine learning on multicore,"We are at the beginning of the multicore era. Computers will have increasingly many cores 
(processors), but there is still no good programming framework for these architectures, and 
thus no simple and uniﬁed way for machine learning to take advantage of the potential …",https://pdfs.semanticscholar.org/38af/f6df1accc456f6cda7d16d4b9ecf418ef21e.pdf,https://books.google.com/books?hl=en&lr=&id=Tbn1l9P1220C&oi=fnd&pg=PA281&dq=Machine+learning&ots=V5lbBmik31&sig=2cEXl9YaPiSTEiAAYM_9qTOnZTE,,
,,,Machine learning,131,,"MW Libbrecht, WS Noble - Nature Reviews Genetics, 2015 - nature.com",2015,"Libbrecht,",Machine learning applications in genetics and genomics,"The field of machine learning, which aims to develop computer algorithms that improve with 
experience, holds promise to enable computers to assist humans in the analysis of large, 
complex data sets. Here, we provide an overview of machine learning applications for the …",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc5204302/,https://www.nature.com/articles/nrg3920,,
,,,Machine learning,132,,"MG Genton - Journal of machine learning research, 2001 - jmlr.org",2001,Genton,Classes of kernels for machine learning: a statistics perspective,"In this paper, we present classes of kernels for machine learning from a statistics 
perspective. Indeed, kernels are positive definite functions and thus also covariances. After 
discussing key properties of kernels, as well as a new formula to construct kernels, we …",https://www.jmlr.org/papers/volume2/genton01a/genton01a.pdf,https://www.jmlr.org/papers/volume2/genton01a/genton01a.pdf,,
,,,Machine learning,133,,KC Fu - 1968 - books.google.com,1968,Fu,Sequential methods in pattern recognition and machine learning,"During the past decade there has been a considerable growth of interest in problems of 
pattern recognition and machine learning. This interest has created an increasing need for 
methods and techniques for the design of pattern recognition and learning systems. Many …",,https://books.google.com/books?hl=en&lr=&id=TrFoHng-H8MC&oi=fnd&pg=PP1&dq=Machine+learning&ots=ZiuR6UmO-M&sig=1DclNSs1a6nsxSkU-8CcI0fTZVM,,
,,,Machine learning,134,,C Molnar - 2020 - books.google.com,2020,Molnar,Interpretable machine learning,"This book is about making machine learning models and their decisions interpretable. After 
exploring the concepts of interpretability, you will learn about simple, interpretable models 
such as decision trees, decision rules and linear regression. Later chapters focus on general …",,https://books.google.com/books?hl=en&lr=&id=jBm3DwAAQBAJ&oi=fnd&pg=PP1&dq=Machine+learning&ots=EgsUVpBCP5&sig=KE9dubIT1DGnZSIQnCrQMSRt0CM,,
,,,Machine learning,135,,"D Lehr, P Ohm - UCDL Rev., 2017 - HeinOnline",2017,"Lehr,",Playing with the data: what legal scholars should learn about machine learning,"Legal scholars have begun to focus intently on machine learningthe name for a large family 
of techniques used for sophisticated new forms of data analysis that are becoming key tools 
of prediction and decision-making. We think this burgeoning scholarship has tended to treat …",https://lawreview.law.ucdavis.edu/issues/51/2/Symposium/51-2_Lehr_Ohm.pdf,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/davlr51&section=26,,
,,,Machine learning,136,,"Z Gong, P Zhong, W Hu - IEEE Access, 2019 - ieeexplore.ieee.org",2019,"Gong,",Diversity in machine learning,"Machine learning methods have achieved good performance and been widely applied in 
various real-world applications. They can learn the model adaptively and be better fit for 
special requirements of different tasks. Generally, a good machine learning system is …",https://ieeexplore.ieee.org/iel7/6287639/8600701/08717641.pdf,https://ieeexplore.ieee.org/abstract/document/8717641/,,
,,,Machine learning,137,,"NM Ball, RJ Brunner - International Journal of Modern Physics D, 2010 - World Scientific",2010,"Ball,",Data mining and machine learning in astronomy,"We review the current state of data mining and machine learning in astronomy. Data Mining 
can have a somewhat mixed connotation from the point of view of a researcher in this field. If 
used correctly, it can be a powerful approach, holding the potential to fully exploit the …",https://arxiv.org/pdf/0906.2173,https://www.worldscientific.com/doi/abs/10.1142/S0218271810017160,,
,,,Machine learning,138,,"J Brownlee - Machine Learning Mastery Pty Ltd, 2016 - s3.amazonaws.com",2016,Brownlee,Machine learning mastery with python,"The information contained within this eBook is strictly for educational purposes. If you wish to 
apply ideas contained in this eBook, you are taking full responsibility for your actions. The 
author has made every effort to ensure the accuracy of the information within this book was …",http://s3.amazonaws.com/MLMastery/machine_learning_mastery_with_python_sample.pdf,http://s3.amazonaws.com/MLMastery/machine_learning_mastery_with_python_sample.pdf,,
,,,Machine learning,139,,"E Soria-Olivas, J Gomez-Sanchis… - … on Neural Networks, 2011 - ieeexplore.ieee.org",2011,"Soria-Olivas,",BELM: Bayesian extreme learning machine,"The theory of extreme learning machine (ELM) has become very popular on the last few 
years. ELM is a new approach for learning the parameters of the hidden layers of a 
multilayer neural network (as the multilayer perceptron or the radial basis function neural …",https://www.researchgate.net/profile/Antonio_Serrano-Lopez/publication/49776685_BELM_Bayesian_extreme_learning_machine/links/575e6bd208ae414b8e4fddc7.pdf,https://ieeexplore.ieee.org/abstract/document/5692833/,,
,,,Machine learning,140,,"A Chouldechova, A Roth - arXiv preprint arXiv:1810.08810, 2018 - arxiv.org",2018,"Chouldechova,",The frontiers of fairness in machine learning,"The last few years have seen an explosion of academic and popular interest in algorithmic 
fairness. Despite this interest and the volume and velocity of work that has been produced 
recently, the fundamental science of fairness in machine learning is still in a nascent state. In …",https://arxiv.org/pdf/1810.08810,https://arxiv.org/abs/1810.08810,,
,,,Machine learning,141,,"Y Low, J Gonzalez, A Kyrola, D Bickson… - arXiv preprint arXiv …, 2012 - arxiv.org",2012,"Low,",Distributed graphlab: A framework for machine learning in the cloud,"While high-level data parallel frameworks, like MapReduce, simplify the design and 
implementation of large-scale data processing systems, they do not naturally or efficiently 
support many important data mining and machine learning algorithms and can lead to …",https://arxiv.org/pdf/1204.6078,https://arxiv.org/abs/1204.6078,,
,,,Machine learning,142,,"JR Kitchin - Nature Catalysis, 2018 - nature.com",2018,Kitchin,Machine learning in catalysis,"Machine learning is currently undergoing a renaissance that is influencing many science 
and engineering fields, including catalysis. Broadly, machine learning is the practice of 
building models from data. In what we might call classical model building we largely rely on …",,https://www.nature.com/articles/s41929-018-0056-y,,
,,,Machine learning,143,,"MP Brenner, JD Eldredge, JB Freund - Physical Review Fluids, 2019 - APS",2019,"Brenner,",Perspective on machine learning for advancing fluid mechanics,"A perspective is presented on how machine learning (ML), with its burgeoning popularity 
and the increasing availability of portable implementations, might advance fluid mechanics. 
As with any numerical or experimental method, ML methods have strengths and limitations …",,https://journals.aps.org/prfluids/abstract/10.1103/PhysRevFluids.4.100501,,
,,,Machine learning,144,,"V Chernozhukov, D Chetverikov, M Demirer, E Duflo… - 2018 - academic.oup.com",2018,"Chernozhukov,",Double/debiased machine learning for treatment and structural parameters,"We revisit the classic semi‐parametric problem of inference on a low‐dimensional 
parameter θ0 in the presence of high‐dimensional nuisance parameters η0. We depart from 
the classical setting by allowing for η0 to be so high‐dimensional that the traditional …",https://academic.oup.com/ectj/article/21/1/C1/5056401,https://academic.oup.com/ectj/article-abstract/21/1/C1/5056401,,
,,,Machine learning,145,,"MP Deisenroth, AA Faisal, CS Ong - 2020 - books.google.com",2020,"Deisenroth,",Mathematics for machine learning,"The fundamental mathematical tools needed to understand machine learning include linear 
algebra, analytic geometry, matrix decompositions, vector calculus, optimization, probability 
and statistics. These topics are traditionally taught in disparate courses, making it hard for …",https://www.academia.edu/download/61538438/mml-book20191217-47161-13am889.pdf,https://books.google.com/books?hl=en&lr=&id=pFjPDwAAQBAJ&oi=fnd&pg=PR9&dq=Machine+learning&ots=VLgr2KE4Bd&sig=mJ8uQ_6H4EQ9LWngJWoewOe6VdQ,,
,,,Machine learning,146,,"A Rajkomar, J Dean, I Kohane - New England Journal of …, 2019 - Mass Medical Soc",2019,"Rajkomar,",Machine learning in medicine,"Machine Learning in Medicine In this view of the future of medicine, patient–provider 
interactions are informed and supported by massive amounts of data from interactions with 
similar patients. These data are collected and curated to provide the latest evidence-based …",http://med.stanford.edu/content/dam/sm/shvca/documents/july-31-ai-homework3.pdf,https://www.nejm.org/doi/full/10.1056/NEJMra1814259,,
,,,Machine learning,147,,"MA Hall, LA Smith - 1998 - researchcommons.waikato.ac.nz",1998,"Hall,",Practical feature subset selection for machine learning,"Machine learning algorithms automatically extract knowledge from machine readable 
information. Unfortunately, their success is usually dependant on the quality of the data that 
they operate on. If the data is inadequate, or contains extraneous and irrelevant information …",https://researchcommons.waikato.ac.nz/bitstream/handle/10289/1512/Practicalfeaturesubset?sequence=1,https://researchcommons.waikato.ac.nz/handle/10289/1512,,
,,,Machine learning,148,,"Ó Fontenla-Romero, B Guijarro-Berdiñas… - … Scalability Methods for …, 2013 - igi-global.com",2013,"Fontenla-Romero,",Online machine learning,"Abstract Machine Learning (ML) addresses the problem of adjusting those mathematical 
models which can accurately predict a characteristic of interest from a given phenomenon. 
They achieve this by extracting information from regularities contained in a data set. From its …",https://pdfs.semanticscholar.org/32b2/fcc89335a0c9655f4ec7895d050ad55b7d47.pdf,https://www.igi-global.com/chapter/content/76468,,
,,,Machine learning,149,,"T Abeel, Y Van de Peer, Y Saeys - Journal of Machine Learning Research, 2009 - jmlr.org",2009,"Abeel,",Java-ml: A machine learning library,"Java-ML is a collection of machine learning and data mining algorithms, which aims to be a 
readily usable and easily extensible API for both software developers and research 
scientists. The interfaces for each type of algorithm are kept simple and algorithms strictly …",https://www.jmlr.org/papers/volume10/abeel09a/abeel09a.pdf,https://www.jmlr.org/papers/volume10/abeel09a/abeel09a.pdf,,
,,,Machine learning,150,,"AL Samuel - IBM Journal of research and development, 1959 - ieeexplore.ieee.org",1959,Samuel,Some studies in machine learning using the game of checkers,"Two machine-learning procedures have been investigated in some detail using the game of 
checkers. Enough work has been done to verify the fact that a computer can be programmed 
so that it will learn to play a better game of checkers than can be played by the person who …",https://hci.iwr.uni-heidelberg.de/system/files/private/downloads/636026949/report_frank_gabel.pdf,https://ieeexplore.ieee.org/abstract/document/5392560/,,
,,,Machine learning,151,,"CR Farrar, K Worden - 2012 - books.google.com",2012,"Farrar,",Structural health monitoring: a machine learning perspective,"Written by global leaders and pioneers in the field, this book is a must-have read for 
researchers, practicing engineers and university faculty working in SHM. Structural Health 
Monitoring: A Machine Learning Perspective is the first comprehensive book on the general …",,https://books.google.com/books?hl=en&lr=&id=2w_sp6lersUC&oi=fnd&pg=PP11&dq=Machine+learning&ots=E3olzCErqs&sig=i4nqjEiFPQ_XlZcjjX4WK9seoNM,,
,,,Machine learning,152,,"V Sze, YH Chen, J Emer, A Suleiman… - 2017 IEEE Custom …, 2017 - ieeexplore.ieee.org",2017,"Sze,",Hardware for machine learning: Challenges and opportunities,"Machine learning plays a critical role in extracting meaningful information out of the 
zetabytes of sensor data collected every day. For some applications, the goal is to analyze 
and understand the data to identify trends (eg, surveillance, portable/wearable electronics); …",https://arxiv.org/pdf/1612.07625,https://ieeexplore.ieee.org/abstract/document/7993626/,,
,,,Machine learning,153,,"I Bose, RK Mahapatra - Information & management, 2001 - Elsevier",2001,"Bose,",Business data mining—a machine learning perspective,"The objective of this paper is to inform the information systems (IS) manager and business 
analyst about the role of machine learning techniques in business data mining. Data mining 
is a fast growing application area in business. Machine learning techniques are used for …",,https://www.sciencedirect.com/science/article/pii/S037872060100091X,,
,,,Machine learning,154,,"Y Lei, B Yang, X Jiang, F Jia, N Li, AK Nandi - Mechanical Systems and …, 2020 - Elsevier",2020,"Lei,",Applications of machine learning to machine fault diagnosis: A review and roadmap,"Intelligent fault diagnosis (IFD) refers to applications of machine learning theories to 
machine fault diagnosis. This is a promising way to release the contribution from human 
labor and automatically recognize the health states of machines, thus it has attracted much …",,https://www.sciencedirect.com/science/article/pii/S0888327019308088,,
,,,Machine learning,155,,"H Mannila - Proceedings of 8th International Conference on …, 1996 - ieeexplore.ieee.org",1996,Mannila,"Data mining: machine learning, statistics, and databases","Abstract Knowledge discovery in databases and data min- ing aim at semiautomatic tools for 
 the analysis of large data sets. We give an overview of the area and present some of the research 
 issues, especially from the database angle. 1 Introduction Knowledge discovery in databases …",http://people.cs.aau.dk/~uk/teaching/BSS2/E99/ssdbm.ps,https://ieeexplore.ieee.org/abstract/document/505910/,,
,,,Machine learning,156,,"F Recknagel - Ecological modelling, 2001 - Elsevier",2001,Recknagel,Applications of machine learning to ecological modelling,"The paper provides a summary of paper presentations at the 2nd International Conference 
on Applications of Machine Learning to Ecological Modelling and a preview of forthcoming 
developments in this area. Artificial neural networks were demonstrated to be very useful for …",https://www.researchgate.net/profile/Friedrich_Recknagel/publication/223066181_Applications_of_machine_learning_to_ecological_modeling/links/5cd4d685458515712ea0659b/Applications-of-machine-learning-to-ecological-modeling.pdf,https://www.sciencedirect.com/science/article/pii/S0304380001003167,,
,,,Machine learning,157,,M Kubat - 2017 - Springer,2017,Kubat,An introduction to machine learning,"Machine learning has come of age. And just in case you might think this is a mere platitude, 
let me clarify. The dream that machines would one day be able to learn is as old as 
computers themselves, perhaps older still. For a long time, however, it remained just that: a …",http://196.189.45.87/bitstream/123456789/88653/1/2017_Book_AnIntroductionToMachineLearnin.pdf,https://link.springer.com/content/pdf/10.1007/978-3-319-63913-0.pdf,,
,,,Machine learning,158,,"KP Bennett, E Parrado-Hernández - The Journal of Machine Learning …, 2006 - jmlr.org",2006,"Bennett,",The interplay of optimization and machine learning research,"The fields of machine learning and mathematical programming are increasingly intertwined. 
Optimization problems lie at the heart of most machine learning approaches. The Special 
Topic on Machine Learning and Large Scale Optimization examines this interplay. Machine  …",https://www.jmlr.org/papers/volume7/MLOPT-intro06a/MLOPT-intro06a.pdf,https://www.jmlr.org/papers/volume7/MLOPT-intro06a/MLOPT-intro06a.pdf,,
,,,Machine learning,159,,"N Paltrinieri, L Comfort, G Reniers - Safety science, 2019 - Elsevier",2019,"Paltrinieri,",Learning about risk: Machine learning for risk assessment,"Risk assessment has a primary role in safety-critical industries. However, it faces a series of 
overall challenges, partially related to technology advancements and increasing needs. 
There is currently a call for continuous risk assessment, improvement in learning past …",https://www.sciencedirect.com/science/article/pii/S0925753518311184,https://www.sciencedirect.com/science/article/pii/S0925753518311184,,
,,,Machine learning,160,,"D Chicco - BioData mining, 2017 - Springer",2017,Chicco,Ten quick tips for machine learning in computational biology,"Machine learning has become a pivotal tool for many projects in computational biology, 
bioinformatics, and health informatics. Nevertheless, beginners and biomedical researchers 
often do not have enough experience to run a data mining project effectively, and therefore …",https://link.springer.com/article/10.1186/s13040-017-0155-3,https://link.springer.com/article/10.1186/s13040-017-0155-3,,
,,,Machine learning,161,,"M Konkol - International Conference on Artificial Intelligence and …, 2014 - Springer",2014,Konkol,Brainy: A machine learning library,"Brainy is a newly created cross-platform machine learning library written in Java. It defines 
interfaces for common types of machine learning tasks and implementations of the most 
popular algorithms. Brainy utilizes a complex mathematical infrastructure which is also part …",https://www.researchgate.net/profile/Michal_Konkol/publication/278994729_Brainy_A_Machine_Learning_Library/links/5588f73008ae347f9bdac40c/Brainy-A-Machine-Learning-Library.pdf,https://link.springer.com/chapter/10.1007/978-3-319-07176-3_43,,
,,,Machine learning,162,,JR Anderson - 1990 - books.google.com,1990,Anderson,Machine learning: An artificial intelligence approach,"One of the largest and most active areas of AI, machine learning is of interest to students of 
psychology, philosophy of science, and education. Although self-contained, volume III 
follows the tradition of volume I (1983) and volume II (1986). Annotation copyrighted by Book …",,https://books.google.com/books?hl=en&lr=&id=UDqCeuwVkkcC&oi=fnd&pg=PR9&dq=Machine+learning&ots=9r5sWNhNFi&sig=TvWM1KeD1IhOVG8D3WkZlPMhMFQ,,
,,,Machine learning,163,,"D Bzdok, A Meyer-Lindenberg - Biological Psychiatry: Cognitive …, 2018 - Elsevier",2018,"Bzdok,",Machine learning for precision psychiatry: opportunities and challenges,"The nature of mental illness remains a conundrum. Traditional disease categories are 
increasingly suspected to misrepresent the causes underlying mental disturbance. Yet 
psychiatrists and investigators now have an unprecedented opportunity to benefit from …",https://hal.archives-ouvertes.fr/hal-01643933/file/bzdok_meyerlindenberg_2018_BP.pdf,https://www.sciencedirect.com/science/article/pii/S2451902217302069,,
